artist,verses_cleaned
Drake,yeah yeah oh baby don't go don't go look look my notepad caught many bodies screenshots solved plenty problems voice notes bagged plenty hotties can't just talk to me like anybody can't just talk to me like anybody man you bitches know that i'm a somebody and lil' baby bad she got a jung body yeah yeah yeah yeah bunch of feelings i just couldn't shake disrespect that i just shouldn't take you just couldn't see the good in drake four months not a long time but you fucked somebody you just couldn't wait you broke my heart you broke my heart it hurts yeah if you just believe yeah see drake liveget tickets as low as you might also like i put careers on shelves like amazon distribution center help really hate to call lil' broski for the dirty work i'd rather do it by myself grrah grrah grrah my tour route'll leave a lazy nigga dizzy got more tracks than when a hair salon is busy flow for days like that river mississippi freaky nigga like i sing with pretty ricky huh yeah yeah got the ad libs from smiggy nails done but my trigger finger itchy clutchin' on a blicky shit is gettin' tricky people love to diss me i hear every single thing man i'm all ears like i took the fam to disney guess that's one way to tell me that you miss me don't go don't go yeah you broke my heart i had my doubts about you from the start pushed to the edge like vert on instagram diggin' up dirt you wanted smoke with me first well this one gon' yeah this one gon' hurt down bad boys sad boys i been representin' since birth yeah i was down bad 'bout you but i'm 'bout to have you down worse i swear you're dead to me does mercedes make a hearse matter fact everybody in this bitch scream out fuck my ex yeah fuck my ex fuck my ex fuck my ex fuck my ex fuck my ex fuck my ex middle fingers up fuck my ex 'boutta turn this bitch up fuck my ex fuck my ex i should drop a name fuck my ex drop a couple names fuck my ex since you want some fame fuck my ex yeah pussy niggas that you turnin' up with fuck my ex in a whip clownin' on me yeah fuck my ex fuck my ex fuck my ex yeah fuck my ex fuck my ex fuck my ex fuck my ex woah woah woah fuck my ex i can't let it go fuck my ex payback a bitch it's fuck my ex if you ain't did this shit fuck my ex you would've popped off you would've said shit fuck my ex you would've posted shit i know your ass too well fuck my ex fuck my ex lyin' lyin' to my face thought you would've shown a little grace how can i expect someone who never had they own place to know they damn place treatin' me like i'm dumb or somethin' like you're runnin' somethin' like they dropped you on your head when you was one or somethin' fuck my ex ayy ayy yeah yeah yeah yeah fuck my ex yeah right right right
Drake,big as the what ah big as the what mm big as the what ayy big as the super bowlbut the difference is it's just two guys playin' shit that they did in the studio niggas usually send they verses back to me and they be terrible just like a two year old i love a dinner with some fine women when they start debatin' about who the g o a t i'm like go on 'head say it then who the g o a t who the g o a t who the g o a t who the g o a t who you bitches really rootin' for like a kid that act bad from january to november nigga it's just you and cole see drake liveget tickets as low as you might also likebig as the what ah big as the what mm big as the what ayy big as the super bowlayy i'm 'bout to i'm bout to i'm 'bout to yeah yeahi'm 'bout to click out on this shit i'm 'bout to click woah i'm 'bout to click out on this shit i'm 'bout to click woah i'm down to click out you hoes and make a crime scene i click the trigger on the stick like a high beam man i was bentley wheel whippin' when i was nineteen she call my number leave her hangin' she got dry cleaned she got a android her messages is lime green i search one name and end up seein' twenty tings nadine christine justine kathleen charlene pauline claudine man i pack 'em in this phone like some sardines and they send me naked pictures it's the small things you niggas still takin' pictures on a gulfstream my youngins richer than you rappers and they all stream i really hate that you been sellin' them some false dreams man if your pub was up for sale i buy the whole thing will they ever give me flowers well of course not they don't wanna have that talk 'cause it's a sore spot they know the boy the one they gotta boycott i told jimmy jam i use a grammy as a door stop girl gave me some head because i need it and if i fuck with you then after i might eat it what niggas talkin' 'bout when this gon' be repeated what the fuck bro i'm one away from michael nigga beat it nigga beat it what beat it what beat it what beat it what beat it what beat it what beat it what beat it what beat it what beat it what beat it what beat it ayy beat it what don't even pay me back on none them favors i don't need it
Drake,yeah tensions is definitely rising t'd up right now t time t time t time t time t timeteatime like i got a cup of this shit tee time like golf at a quarter to six i love to fuck on a regular bitch famous hoes lame but they stay on my dick heard your new joint it's embarrassing shit you talk to the cops on some therapist shit you act like you love this american shit but really the truth is you scared of the yeah you scared of the yeah you scared of the your bodyguard put in some work on a fluke now you wanna go and inherit that shit don't talk to the boy 'bout comparisons shit or come to the boy on some arrogant shit the weapons we got are some terrorist shit like tv producers we grr we airing this shit she askin' for bread for her parents and shit i told her i don't got no cash and she said she could wait on a rack on some arabic shit i pull out a million and stare at the shit my dick just got hard 'cause a wire just hit my schedule is out come spin us for real man fuck all that spinnin' the narrative shit i melt down the chains that i bought from yo' boss give a fuck about all of that heritage shit since v not around the members done hung up the louis they not even wearing that shit don't come to the boy 'bout repairing some shit don't come to the boy about sparing some shit you lucky that vogue was suing 'cause i would've been with the wassas in paris and shit you might also likeyeah is you fucking crazy nah is you fucking crazy what is you fucking crazy nah nah is you fucking crazy yeah is you fucking crazy or what is you fuckin' is you fuckin' is you fucking crazy 
Drake,i don't know i don't know what's wrong with you girls i feel like y'all don't need love you need somebody who could micromanage you you know what i'm sayin' tell you right from wrong who's smart from who's the fool which utensil to use for which food like i got a schedule to attend to though i can't really ix you bitches really get carried away makin' mistakes then you beg me to stay got me wiggin' on you like i'm arrogant tae you got my mind in a terrible place whipped and chained you like american slaves act like you not used to sheraton stays i met the nigga you thought could replace how were there even comparisons made bitch next time i swear on my grandmother grave i'm slimin' you for them kid choices you madeslimin' you out slimin' you out slimin' you out see drake liveget tickets as low as you might also likeayy this ain't the littest i could get on you bitches send wires on wires on wires like idris you lucky that i don't take back what was given i could have you on payment plan 'til you're hundred and fifty and my slime right here she got some bars for y'all niggas so i'ma fall back and let sza talk her shit for a minuteslimin' you out slimin' you out slimin' you out see drake liveget tickets as low as you might also likeyeah january you pretend to see life clearly yearly february is the time that you put the evil eye and the pride aside for the fantasy of gettin' married very scary march got you already second guessin' titles april spring is here and just like a spring you start to spiral may brings some warmer days poolside gettin' very tan june have you movin' ice cold goin' back and forth with a married man july that's when i found out you lied august it was baby this baby that like you had your tubes tied september we fallin' off but i'm still the man you tryna win over october is all about me 'cause your turn should've been over november got you moodboardin' for next year and you're single december the gift givin' month and now you wanna rekindle our year tryna build trust showin' me your dms how they tryna bag you ironic how the news i got about you ended up bein' bad news get a nigga hit for fifty racks girl the beef cost like it's wagyu get a nigga hit i'll make his ass see the light like a half moon shout to qc pretty sure i made pee m's like it's past noon all i really know is w's and m's life lookin' like a bathroom all i really know is m bags like i drove through and ordered fast food sayin' that i'm too guarded with my feelings who the fuck even asked you seven bodyguards just in case somebody really wanna try and crash through don't know why i listen to you when i hear you talkin' to me it's some half truths if i don't pay your rent it end up like an old hairstyle girl it's past due if i don't ah ah ah that's as far as i got
Drake,yeah on the radar g o d and my broski c you know what it is some madness and badness combination yeah ayy grron morningside got no stick in the ride if i take flicks with the guys i gotta put emojis over like three faces 'cause the feds can't see those eyes people i shouldn't be beside when i was an actor they would go stratford just to sell food on bieber's side plenty reasons why i'm this way my girl that's just one reason why seen you around at sotto enough man baby you love on some eediat guys obedient guys jokers and comеdian guys you know i'm like ' in the right shoe lovе but you love on some medium guys i wanna keep you on the beach 'til a m so you see sunrise seen you from the stage in the one hundreds these must be eagle eyes pressin' against me thinkin' 'bout entry know you could tell it's a decent size you wanna know the real me girl say you wanna see deep inside if chubbs has on a chanel side bag you don't wanna see him reach inside 'cah we know some demon guys with jealous and evil eyes you know that's how jesus died you know that's how julius caesar died i bet they were decent guys i swear they remind me of me sometimes i'm tryna be under your breasts like peas and rice you never get treated nice fool you once that's fine but you look dumb if you let them repeat it twice two hundred mill' on the table i hope i'm able to get this agreement signed told you i needed time but really the truth is i don't believe in time feel like i been here over a thousand years like since the medieval times and i'm still just a cutthroat king even though this is recent times a man might dead that we're beefin' with but we don't do grieving time fuck teasin' time if i cum inside you it's breedin' time so much for idols kmt with the eye roll knew that i made it when i had drivers holding my last name up in arrivals cench might need vaccine when he see how this vid' start going viral if lita's there then the mash is there with grains in there like silos the morning rain clouds up my window i swear i feel like dido j a u m how it looks when man put you in a jam like typos negotiation asking for twenty percent of the company that's my final realistic the shit might n like i'm going through tottenham high road if it's beef i'll get that shaved for bread and grease like i'm making giros or i'm making gyros so much for all these heroes the numbers are good with me as long as it's comma then zero zero zero zero zero zero zero pass me a glass of the vino if a girl try take my rolex to buy some valentino i tell baby m what she did to the kid then i line her like emo she didn't rock my clothing line when we had one shirt to go with the jeans though now man like me and clint can afford those whips like gran torino grr you might also likehmm grr alright alright hahaha 
Drake,yeah oh baby be honest with yourself yeah everything good everything pure there's some things in life and you know ooh ways if you wanna keep that guy everything pure you've got to change your evil ways if you wanna keep that yeah i got some evil ways even through the glasses you could see the gaze to find your way up to the top this shit gon' be a maze volkswagen shit the way i'm runnin' beatles plays yeah and we linkin' like we freed the slaves i conquered hell i walkеd the 'ville and set my feet ablazе my heart hardens every year like sneakers that adidas made i never did the vmas i'm not in need of praise all praise to the born sinners jesus saves my brothers runnin' through the ix like the green berets beefin' with a block that's five hundred feet away wheel of fortune shit the way they say they need a k nah uh i only need a raise and a safe to stash these frito lays times was hard i watched my mama robbin' paul just to get peter paid and now my paper folded like when teachers don't want classmates to see your grade time is speedin' now i see the greys pokin' out this beard but it's weird 'cause i feel like i ain't even age yeah y'all seize the rage feet firmly planted for these precious flowers i've been handed watch me be the vase man i'm livin' out carlito's way you niggas ain't gettin' no bread you in a keto phase wisdom comin' out my mouth like some teethin' pain my whip used to have the seat displays where s m a c k dvd would play zopiclone baby i can't rest without the sleepin' aids bought this nigga jewels these shits is light let's get it reappraised i bet you see the price and you gon' be amazed and broski didn't do it he like a piece of art judge he was framed some feed the j's to receive a wage coke got they nose bleedin' like the seats where you can't see the stage high up in arenas where they see their faves aka me and drizzy drake we the wave uh yeah we the wave like christian combs with a brush in his hand once the grease is laid shit is like the label deal you signed to get your people paid me i got tickets like a meter maid and my nigga like he celebratin' legal age next time i get in rosalía face i hope she tell her people that we need some space niggas think i won't get 'em hit but like an indian marriage it could be arranged diss me and just may see us on your block like the street parade at the top playin' keep away with the crown our life's an open book come and read a page drake pulled a white bitch that's goin' both ways she like the queen of spades i'm startin' to think they percs is fake they weed is laced for thinkin' it's a game if it's a game these streets would be bushido's blade razor to his face and he ain't need a shave i stay out of beef seen niggas' dna get rearranged i'm with drizzy in atlanta so many hitters with that nigga they could be the braves young angel goin' through his demon phase hard to blame 'em lord knows this game can be depraved scary hours undefeated y'all should be afraid yeah y'all should be afraid see drake liveget tickets as low as you might also like
Drake, i i'm sadpony ayy i i'm yeah bnyx i need someone to be patient with me someone to get money with not take it from me look they don't even need to be as famous as me i don't think i'll meet 'em at the places i be i i i but deep down i think about you all day mami i know i'm a pitbull but dale mami i just wanna take you on a holiday mami say what's on your mind i'm a call away mami come and rescue me woah take me out the club what take me out the trap i i i take me off the market take me off the map i'm tryna hit the group chat and tell 'еm it's a come and rescue mе take me out the club take me out the trap take me off the market take me off the map i'm tryna hit the group chat and tell 'em it's a wrap see drake liveget tickets as low as you might also like i didn't come this far just to come this far and not be happy okay that's fair remember that you didn't come this far just to come this far yep i saw it on the internet i don't really know how to confess my love really seem like god wanna test my love for you i i i don't know how to express my love that's why i american expre e e e e ss my love for you i need you yeah i really do tell me what to do okay tell me what to do okay tell me what to do all i know is hit the mall and see what damage i could do okay i give you the world but there's other planets too and i need someone to be patient with me someone to get money with not take it from me look they don't even need to be as famous as me i don't think i'll meet 'em at the places i be i i i but deep down i think about you all day mami i know i'm a pitbull but dale mami i just wanna take you on a holiday mami say what's on your mind i'm a call away mami come and rescue me woah take me out the club what take me out the trap i i i take me off the market take me off the map i'm tryna hit the group chat and tell 'em it's a come and rescue me take me out the club take me out the trap take me off the market take me off the map i'm tryna hit the group chat and tell 'em it's a wrap come and rescue me woah take me out the club what take me out the trap take me off the market take me off the map i'm tryna hit the group chat and tell 'em it's a man i'm tryna hit the ayy what don't hit me up and wyd me baby nah send a boy a p i c or see me baby damn okay now we talkin' yeah okay now we talkin' yeah okay now we talkin' yeah when we talk you gotta listen i don't wanna go missin' i wanna be consistent not a opposition side put you in a i won't put you in that fucked up position i i need someone to be patient with me someone to get money with not take it from me look they don't even need to be as famous as me i don't think i'll meet 'em at the places i be but deep down i think about you all day mami i know i'm a pitbull but dale mami i just wanna take you on a holiday mami say what's on your mind i'm a call away mami come and rescue me woah take me out the club what take me out the trap i i i take me off the market take me off the map i'm tryna hit the group chat and tell 'em it's a come and rescue me take me out the club take me out the trap take me off the market take me off the map i'm tryna hit the group chat and tell 'em it's a wrap
Drake,yeah y'all might want to skip this one this is a harsh truth very harsh truth look to all the ladies wonderin' why drake can't rap like that same old guy it's 'cause i don't know how anymore i don't know how yeah i've had my beliefs tested my faith broken in half i try to joke and i laugh but i just don't know how anymore love i don't know how yeah to all the super triggered women talkin' down on me relax drink some water act like you somebody daughter can't get a tan from your phone light baby it's late june open the blinds get out the shade room maybe you could stop gettin' involved in some shit when you not involved or maybe you go for a walk somewhere that is not a mall what's your baby's shoe size could tell by the laces they tight or are you only focused on the steps that i'm taking in life and then you got the ones who claim a guy that's everyone's nigga leave for a month to colombia and now everything bigger even your attitude is bigger your appetite growing your nigga is not even a starting qb that nigga on the field before the game he just practicin' throwing what happened to sellin' real estate where all that shit was goin' all your fuckin' captions lately talkin' 'bout happy and glowin' all of that snappin' and posin' whole time he jealous of your past who the fuck was your last askin' questions 'bout niggas and you get slapped in the face if you happen to know him domestic abuse that man is not a man for you he's a pathetic excuse lyin' through your teeth scared of lettin' your skeletons loose but you stick around 'cause who's out there that's better for you plus he paid the surgeon so your ass could get a caboose but he wants you covering it up so your dresses is loose plus it's the only thing they see when you get introduced now you on a flight to bogotá just to get it reduced good lord more weeks of recovery clinics front like you love every minute you gettin' pushed to the brink you sittin' at double your limit meanwhile that nigga out in my city fuckin' on bitches if they even mention me and showin' me love then it's finished jealous ass niggas damn then you got the ones that travel 'cross the globe everything is paid they don't need a man don't listen to drake never been a fan you got a million hoes yeah i understand i'm never fuckin' you so take that out your plans i'm good on all you niggas 'til a ring is on my hand then i search your name find you on the 'gram click the linktree and see you suckin' dick on cam what the fuck see drake liveget tickets as low as you might also like oh hell no it can't be not mrs independent dude nah so uh to all the ladies wonderin' why drake can't rap like that same old guy it's 'cause i don't know how anymore i don't know how yeah i've had my beliefs tested my faith broken in half i try to joke and i laugh but i just don't know how anymore love i just don't know how yeah to all the ladies on my case with a look on they face allow me to put these bums right back in they place for all the niggas who act twelve the fake gangsters with a mac the ones that only hit your phone up when it's past twelve baddies not the only ones worried 'bout strikin' a pose you orderin' one bottle to split between five of the bros all your boos think it's halloween and they went ghost that's when you go miami on the 'gram and you rent boats and now they thinkin' you sweet with the bread like french toast you boys becomin' detectives but ain't in no trench coats i would never guess that you niggas is this crazy she took dick in ibiza you turn into dick tracy you niggas so jaded actin' hulk tough but you only turn green because your necklace is gold plated she settled for an nba star that's through playin' instead she got an nba fan that's k in' she lookin' for high ground hate bein' tied down she loved you for the first year but those feelings died down she livin' in downtown you live with your parents still you don't own a steering wheel so you can't even drive down you downloaded the my mercedes app for some time now to track when she ride 'round you know where she goin' before she there it raise eyebrows you hackin' her icloud you committing cyber crimes you niggas is out of line she's finally movin' on she's only said it a thousand times you sold her a dream talkin' that give you the world shit her friends wanna get her back on that diamonds and pearl shit i mean it was girls there but it wasn't a girls trip she met a guy she met a guy that ain't just gettin' by a better guy she 'bout to spread her wings and you just gotta let her fly you know you can't control a gemini that's facts she like shh quiet everybody the game started my new boo hoopin' tonight and he said he play at the garden he said if i ain't watching then that nigga ain't startin' she point to the guy that she talkin' 'bout and it's james harden damn dog lost your lost your girl to the sniper huh good god i feel for you bro look so to all the ladies wonderin' why drake can't rap like that same old guy it's 'cause i don't know how anymore i don't know how yeah i've had my beliefs tested my faith broken in half i try to joke and i laugh but i just don't know how anymore love i don't know how that's real
Drake,just awaken shaken once again so you know it's on just awaken shaken once again ho you know it's on just awaken shaken once again so you know it's on just awaken shaken once again ho you know it's on yeah life life is the only thing we need they need me to go but i don't wanna leave rest in peace to lil keedfuck a pigeonhole i'm a night owl this a different mode i might have to make her paint a on her pinky toe heard you with a shooting guard just let a nigga know i would have you courtside not the middle row all good love in a minute though i can't strеss about no bitch 'cause i'm a timid soul plus i'm cookin' up ambition on a kitchen stove pot start to bubblе see the suds that shit good to go hoes say i'm suave but i can't get rico'd bro think he john wayne i bought him yellow stones love the way they hang babe fuck the silicone everybody fake now you could crack the code bustdown everything set in rose gold dread talkin' to you niggas like i'm j cole i can tell her head good before i even know bitch don't tell me that you model if you ain't been in vogue gotta throw a party for my day ones they ain't in the studio but they'll lay somethin' rest in peace to drama king we was straight stuntin' you don't like the way i talk nigga say somethin' gotta throw a party for my day ones pull up and you know it's us the bass jumpin' you don't like the way i talk then say somethin' get out my face nigga see drake liveget tickets as low as you might also likegotta throw a party for my day ones they ain't in the studio but they'll lay somethin' rest in peace to drama king we was straight stuntin' if i let my nigga tell it you a pussygotta throw a party for my day ones they ain't in the studio but they'll lay somethin' rest in peace to drama king we was straight stuntin' you don't like the way i talk nigga say somethin 'say somethin' say somethin' say somethin' say somethin' say somethin' you don't like the way i talk nigga say somethin' say somethin' say somethin' say somethin' say somethin'
Drake,i don't understand why you blame me just take me as i am it's the same me we should be yeah senseless sight to see yeah senseless sight to see ayyfeelin' young but they treat me like the og and they want the tea on me i swear these bitches nosey said he put some money on my head i guess we gon' see i won't put no money on his head my niggas owe me i gotta be single for a while you can't control me uno dos tres in a race they can't hold me and i show my face in a case so you know it's me imitation isn't flattery it's just annoyin' me and i'm too about it and the dirt that they threw on my name turned to soil and i grew up out it time for y'all to figure out what y'all gon' do about it big wheels keep rollin' rollin 'i'm outside twenty nine g seaside i've been losin' friends and findin' peace but honestly that sound like a fair trade to me if i ever hurt one and i'm still here outside frontline southside i've been losin' friends and findin' peace honestly that sound like a fair trade to me see drake liveget tickets as low as you might also likelook don't invite me over if you throw another pity party lookin' back it's hard to tell you where i started i don't know who love me but i know that it ain't everybody i can never love her she a busy body baby if you want me can't be turnin' up with everybody nah can't be fuckin' on just anybody yeah i got feelings for you that's the thing about it yeah you know that it's somethin' when i sing about it yeah mama used to be on disability but gave me this ability and now she walkin' with her head high and her back straight i don't think you feelin' me i'm out here bein' everything they said i wouldn't be and couldn't be i don't know what happened to them guys that said they would be i said see you at the top and they misunderstood me i hold no resentment in my heart that's that maturity and we don't keep it on us anymore it's with securityi'm outside yeah twenty nine yeah g seaside i've been losin' friends and findin' peace but honestly that sound like a fair trade to me if i ever hurt one and i'm still here outside frontline southside southside i've been losin' friends and findin' peace honestly that sound like a fair trade to mei'm outside yeah twenty nine yeah g seaside i've been losin' friends and findin' peace but honestly that sound like a fair trade to me if i ever hurt one and i'm still here outside frontline southside southside i've been losin' friends and findin' peace honestly that sound like a fair trade to me
